"DRGKode";"DRGNavn";"Kostnadsvekt";"TrimpunktØvre";"ProsedyreinnholdsType";"DRGBasispoeng";"HDGKode";"ErGyldigForSekundærRehabilitering";"DRGTjenestetype";"ErGyldigForPoengtilleggAmbulantBehandling";"DRG_CCNivå";"DRG_CCGruppe";"ErSomatikk"
"16";"Uspesifikke karsykdommer i hjernen m/bk";1.211;16;"M";1.211;1;0;"Ordinære innleggelser med overnatting";0;1;"16_17";"Ja"
"17";"Uspesifikke karsykdommer i hjernen u/bk";0.611;5;"M";0.611;1;0;"Ordinære innleggelser med overnatting";0;0;"16_17";"Ja"
"18";"Sykdommer i hjernenerver og perifere nerver m/bk";1.435;17;"M";1.435;1;0;"Ordinære innleggelser med overnatting";0;1;"18_19";"Ja"
"19";"Sykdommer i hjernenerver og perifere nerver u/bk";0.865;9;"M";0.865;1;0;"Ordinære innleggelser med overnatting";0;0;"18_19";"Ja"
"20";"Infeksjon i nervesystemet ekskl viral meningitt";2.687;29;"M";2.687;1;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"21";"Viral meningitt";1.100;8;"M";1.100;1;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"23";"Ikke-traumatisk koma og stupor";0.987;8;"M";0.987;1;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"24";"Kramper og hodepine >17 år m/bk";1.161;11;"M";1.161;1;0;"Ordinære innleggelser med overnatting";0;1;"24_25";"Ja"
"25";"Kramper og hodepine >17 år u/bk";0.634;5;"M";0.634;1;0;"Ordinære innleggelser med overnatting";0;0;"24_25";"Ja"
"26";"Kramper og hodepine 0-17 år";0.882;7;"M";0.882;1;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"27";"Alvorlig traumatisk hjerneskade";1.194;15;"M";1.194;1;1;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"28";"Traumatisk hjerneskade >17 år m/bk";1.256;9;"M";1.256;1;0;"Ordinære innleggelser med overnatting";0;1;"28_29";"Ja"
"29";"Traumatisk hjerneskade >17 år u/bk";0.750;4;"M";0.750;1;0;"Ordinære innleggelser med overnatting";0;0;"28_29";"Ja"
"30";"Traumatisk hjerneskade 0-17 år";0.669;3;"M";0.669;1;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"31";"Hjernerystelse >17 år m/bk";0.564;6;"M";0.564;1;0;"Ordinære innleggelser med overnatting";0;1;"31_32";"Ja"
"32";"Hjernerystelse >17 år u/bk";0.426;3;"M";0.426;1;0;"Ordinære innleggelser med overnatting";0;0;"31_32";"Ja"
"33";"Hjernerystelse 0-17 år";0.362;2;"M";0.362;1;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"34";"Sykdommer i nervesystemet ITAD m/bk";1.214;14;"M";1.214;1;0;"Ordinære innleggelser med overnatting";0;1;"34_35";"Ja"
"35";"Sykdommer i nervesystemet ITAD u/bk";0.740;6;"M";0.740;1;0;"Ordinære innleggelser med overnatting";0;0;"34_35";"Ja"
"37";"Op på orbita inkl enukleasjon/eviscerasjon av øye";1.921;9;"K";1.921;2;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"39";"Operasjoner på linsen";0.977;5;"K";0.359;2;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
40;"Op på cornea/sklera/ekstraokulære strukturer  ";1.131;8;"K";1.131;2;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"42";"Intraokulære operasjoner på regnbuehinne, på glasslegeme og for glaukom";1.318;8;"K";1.318;2;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"43";"Hyphema, kontusjonsskader i øyeregionen";0.639;5;"M";0.639;2;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"44";"Alvorlige akutte øyeinfeksjoner";1.528;15;"M";1.528;2;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"45";"Nevrologiske øyesykdommer";0.811;7;"M";0.811;2;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"46";"Øyesykdommer ITAD >17 år m/bk";1.035;13;"M";1.035;2;0;"Ordinære innleggelser med overnatting";0;1;"46_47";"Ja"
"47";"Øyesykdommer ITAD >17 år u/bk";0.838;8;"M";0.838;2;0;"Ordinære innleggelser med overnatting";0;0;"46_47";"Ja"
"48";"Øyesykdommer ITAD 0-17 år";1.104;6;"M";1.104;2;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"52";"Operasjoner for leppe- og ganespalte";2.354;9;"K";2.354;3;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"55";"Diverse operasjoner på øre/nese/hals";1.354;3;"K";1.354;3;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"56";"Plastiske operasjoner på nesen";1.368;3;"K";0.649;3;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"63";"Operasjoner på øre, nese, hals ITAD";1.935;8;"K";1.935;3;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"64";"Ondartede sykdommer i øre, nese, hals";2.907;28;"M";2.907;3;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"65";"Svimmelhet";0.630;5;"M";0.630;3;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"66";"Neseblødning";0.646;5;"M";0.646;3;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"67";"Epiglottitt";6.669;18;"M";6.669;3;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"68";"Otitis media og øvre luftveisinfeksjon >17 år m/bk";0.887;8;"M";0.887;3;0;"Ordinære innleggelser med overnatting";0;1;"68_69";"Ja"
"69";"Otitis media og øvre luftveisinfeksjon >17 år u/bk";0.581;4;"M";0.581;3;0;"Ordinære innleggelser med overnatting";0;0;"68_69";"Ja"
"71";"Laryngotrakeitt";0.602;4;"M";0.602;3;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"72";"Neseskade og medfødt nesedeformitet";0.625;3;"M";0.625;3;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"73";"Sykdommer i øre, nese, hals ITAD >17 år";0.804;6;"M";0.804;3;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"74";"Sykdommer i øre, nese, hals ITAD 0-17 år";0.749;5;"M";0.749;3;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"75";"Større thoraxop, visse op på perikard/trachea/diafragma m.m.";4.430;19;"K";4.430;4;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"76";"Op på åndedrettssystemet ITAD m/bk";5.250;36;"K";5.250;4;0;"Ordinære innleggelser med overnatting";0;1;"76_77";"Ja"
"77";"Op på åndedrettssystemet ITAD u/bk";1.871;8;"K";1.871;4;0;"Ordinære innleggelser med overnatting";0;0;"76_77";"Ja"
"78";"Lungeemboli, luftemboli og fettembolisyndrom";1.070;10;"M";1.070;4;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"79";"Infeksjoner og inflammasjoner i åndedr.syst >17 år m/bk";2.353;24;"M";2.353;4;0;"Ordinære innleggelser med overnatting";0;1;"79_80";"Ja"
"80";"Infeksjoner og inflammasjoner i åndedr.syst >17 år u/bk";1.431;15;"M";1.431;4;0;"Ordinære innleggelser med overnatting";0;0;"79_80";"Ja"
"81";"Infeksjoner og inflammasjoner i åndedr.syst 0-17 år";3.311;19;"M";3.311;4;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"82";"Svulster i åndedrettssystemet";1.438;15;"M";1.438;4;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"83";"Større thoraxskader m/bk";1.302;11;"M";1.302;4;0;"Ordinære innleggelser med overnatting";0;1;"83_84";"Ja"
"84";"Større thoraxskader u/bk";0.792;6;"M";0.792;4;0;"Ordinære innleggelser med overnatting";0;0;"83_84";"Ja"
"85";"Pleuritis exudativa m/bk";1.545;16;"M";1.545;4;0;"Ordinære innleggelser med overnatting";0;1;"85_86";"Ja"
"86";"Pleuritis exudativa u/bk";0.963;10;"M";0.963;4;0;"Ordinære innleggelser med overnatting";0;0;"85_86";"Ja"
"87";"Respirasjonssvikt og lungeødem ekskl ved hjertesvikt";1.067;11;"M";1.067;4;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"88";"Kroniske obstruktive lungesykdommer  (KOLS)";0.878;8;"M";0.878;4;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"89";"Lungebetennelse og pleuritt >17 år m/bk";1.282;12;"M";1.282;4;0;"Ordinære innleggelser med overnatting";0;1;"89_90";"Ja"
"90";"Lungebetennelse og pleuritt >17 år u/bk";0.895;7;"M";0.895;4;0;"Ordinære innleggelser med overnatting";0;0;"89_90";"Ja"
"92";"Interstitielle lungesykdommer m/bk";1.430;16;"M";1.430;4;0;"Ordinære innleggelser med overnatting";0;1;"92_93";"Ja"
"93";"Interstitielle lungesykdommer u/bk";0.982;8;"M";0.982;4;0;"Ordinære innleggelser med overnatting";0;0;"92_93";"Ja"
"94";"Pneumothorax m/bk";1.826;16;"M";1.826;4;0;"Ordinære innleggelser med overnatting";0;1;"94_95";"Ja"
"95";"Pneumothorax u/bk";1.214;10;"M";1.214;4;0;"Ordinære innleggelser med overnatting";0;0;"94_95";"Ja"
"96";"Bronkitt og astma >17 år m/bk";0.924;8;"M";0.924;4;0;"Ordinære innleggelser med overnatting";0;1;"96_97";"Ja"
"97";"Bronkitt og astma >17 år u/bk";0.657;6;"M";0.657;4;0;"Ordinære innleggelser med overnatting";0;0;"96_97";"Ja"
"99";"Funn og symptomer fra åndedrettsorganer m/bk";0.772;7;"M";0.772;4;0;"Ordinære innleggelser med overnatting";0;1;"99_100";"Ja"
"100";"Funn og symptomer fra åndedrettsorganer u/bk";0.518;4;"M";0.518;4;0;"Ordinære innleggelser med overnatting";0;0;"99_100";"Ja"
"101";"Sykdommer i åndedrettsorganer ITAD m/bk";1.000;11;"M";1.000;4;0;"Ordinære innleggelser med overnatting";0;1;"101_102";"Ja"
"102";"Sykdommer i åndedrettsorganer ITAD u/bk";0.565;5;"M";0.565;4;0;"Ordinære innleggelser med overnatting";0;0;"101_102";"Ja"
"103";"Hjertetransplantasjon og implantasjon av VAD";42.647;112;"K";42.647;5;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"108";"Op på hjerte og store intratorakale kar ITAD";6.439;22;"K";6.439;5;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"110";"Større kardiovaskulære op m/bk";6.582;24;"K";6.582;5;0;"Ordinære innleggelser med overnatting";0;1;"110_111";"Ja"
"111";"Større kardiovaskulære op u/bk";3.575;10;"K";3.575;5;0;"Ordinære innleggelser med overnatting";0;0;"110_111";"Ja"
"113";"Amputasjon av underekstr ekskl tå v/ sirk.svikt";5.458;30;"K";5.458;5;1;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"114";"Amputasjon av overekstr eller tå v/ sirk.svikt";1.622;20;"K";1.622;5;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"119";"Inngrep for åreknuter";1.005;3;"K";0.217;5;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"120";"Operasjoner på sirkulasjonsorganene ITAD";1.323;10;"K";1.323;5;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"121";"Sirk.sykdom m/ AMI og kardiov komplik i live etter 4 dager";1.156;12;"M";1.156;5;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"122";"Sirk.sykdom m/ AMI u/kardiov komplik i live etter 4 dager";0.631;6;"M";0.631;5;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"123";"Akutt myokardinfarkt (AMI), liggetid < 4 dager, utskrevet død";0.554;3;"M";0.554;5;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"124";"Diagnostisk perkutan hjerteprosedyre m/ kompliserende hjertelidelse";1.236;10;"M";1.236;5;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"125";"Diagnostisk perkutan hjerteprosedyre u/ kompliserende hjertelidelse";0.788;6;"M";0.788;5;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"126";"Akutt og subakutt endokarditt";4.553;42;"M";4.553;5;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"127";"Hjertesvikt og ikke-traumatisk sjokk";1.422;15;"M";1.422;5;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"128";"Årebetennelse i de dype vener";0.675;7;"M";0.675;5;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"129";"Hjertestans uten kjent årsak";1.436;13;"M";1.436;5;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"130";"Sykdommer i de perifere kar m/bk";1.161;13;"M";1.161;5;0;"Ordinære innleggelser med overnatting";0;1;"130_131";"Ja"
"131";"Sykdommer i de perifere kar u/bk";0.867;6;"M";0.867;5;0;"Ordinære innleggelser med overnatting";0;0;"130_131";"Ja"
"132";"Antatt ateroskler hjertesykdom m/bk";0.720;8;"M";0.720;5;0;"Ordinære innleggelser med overnatting";0;1;"132_133";"Ja"
"133";"Antatt ateroskler hjertesykdom u/bk";0.457;4;"M";0.457;5;0;"Ordinære innleggelser med overnatting";0;0;"132_133";"Ja"
"134";"Hypertensjon";0.583;5;"M";0.583;5;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"135";"Hjertefeil og komplik til kunstig hjerteklaff >17 år m/bk";1.177;14;"M";1.177;5;0;"Ordinære innleggelser med overnatting";0;1;"135_136";"Ja"
"136";"Hjertefeil og komplik til kunstig hjerteklaff >17 år u/bk";0.714;7;"M";0.714;5;0;"Ordinære innleggelser med overnatting";0;0;"135_136";"Ja"
"137";"Hjertefeil og komplik til kunstig hjerteklaff 0-17 år";1.497;15;"M";1.497;5;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"138";"Hjertearytmier og ledningsforstyrrelser m/bk";0.868;8;"M";0.868;5;0;"Ordinære innleggelser med overnatting";0;1;"138_139";"Ja"
"139";"Hjertearytmier og ledningsforstyrrelser u/bk";0.508;4;"M";0.508;5;0;"Ordinære innleggelser med overnatting";0;0;"138_139";"Ja"
"140";"Angina pectoris";0.616;6;"M";0.616;5;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"141";"Synkope og kollaps m/bk";0.690;6;"M";0.690;5;0;"Ordinære innleggelser med overnatting";0;1;"141_142";"Ja"
"142";"Synkope og kollaps u/bk";0.516;4;"M";0.516;5;0;"Ordinære innleggelser med overnatting";0;0;"141_142";"Ja"
"143";"Brystsmerter";0.417;3;"M";0.417;5;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"144";"Sirkulasjonssykdommer ITAD m/bk";1.315;15;"M";1.315;5;0;"Ordinære innleggelser med overnatting";0;1;"144_145";"Ja"
"145";"Sirkulasjonssykdommer ITAD u/bk";0.751;7;"M";0.751;5;0;"Ordinære innleggelser med overnatting";0;0;"144_145";"Ja"
"146";"Reseksjonsinngrep på rectum m/bk";5.677;29;"K";5.677;6;0;"Ordinære innleggelser med overnatting";0;1;"146_147";"Ja"
"147";"Reseksjonsinngrep på rectum u/bk";3.688;11;"K";3.688;6;0;"Ordinære innleggelser med overnatting";0;0;"146_147";"Ja"
"148";"Større operasjoner på tynntarm og tykktarm m/bk";4.896;29;"K";4.896;6;0;"Ordinære innleggelser med overnatting";0;1;"148_149";"Ja"
"149";"Større operasjoner på tynntarm og tykktarm u/bk";2.825;11;"K";2.825;6;0;"Ordinære innleggelser med overnatting";0;0;"148_149";"Ja"
"150";"Operasjon for tarmadheranser m/bk";3.783;26;"K";3.783;6;0;"Ordinære innleggelser med overnatting";0;1;"150_151";"Ja"
"151";"Operasjon for tarmadheranser u/bk";2.416;11;"K";2.416;6;0;"Ordinære innleggelser med overnatting";0;0;"150_151";"Ja"
"152";"Mindre operasjoner på tynntarm og tykktarm m/bk";2.951;24;"K";2.951;6;0;"Ordinære innleggelser med overnatting";0;1;"152_153";"Ja"
"153";"Mindre operasjoner på tynntarm og tykktarm u/bk";1.803;7;"K";1.803;6;0;"Ordinære innleggelser med overnatting";0;0;"152_153";"Ja"
"156";"Op på spiserør, magesekk og tolvf. 0-17 år";3.821;19;"K";3.821;6;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"157";"Enkle tarmop og op på anus og fremlagt tarm m/bk";1.526;13;"K";1.526;6;0;"Ordinære innleggelser med overnatting";0;1;"157_158";"Ja"
"158";"Enkle tarmop og op på anus og fremlagt tarm u/bk";0.914;5;"K";0.400;6;0;"Ordinære innleggelser med overnatting";0;0;"157_158";"Ja"
"159";"Brokkop ekskl inguinal og femoral >17 år m/bk";2.104;10;"K";2.104;6;0;"Ordinære innleggelser med overnatting";0;1;"159_160";"Ja"
"160";"Brokkop ekskl inguinal og femoral >17 år u/bk";1.532;6;"K";0.835;6;0;"Ordinære innleggelser med overnatting";0;0;"159_160";"Ja"
"161";"Inguinal og femoral brokkoperasjon >17 år m/bk";1.307;6;"K";0.938;6;0;"Ordinære innleggelser med overnatting";0;1;"161_162";"Ja"
"162";"Inguinal og femoral brokkoperasjon >17 år u/bk";1.128;4;"K";0.759;6;0;"Ordinære innleggelser med overnatting";0;0;"161_162";"Ja"
"163";"Lyskebrokkoperasjon 0-17 år";1.425;6;"K";1.425;6;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"167";"Appendektomi uten kompliserende hovedtilstand";1.215;4;"K";1.200;6;0;"Ordinære innleggelser med overnatting";0;0;"166N_167";"Ja"
"168";"Prosedyrer i munnhulen m/bk";2.628;13;"K";2.628;3;0;"Ordinære innleggelser med overnatting";0;1;"168_169";"Ja"
"169";"Prosedyrer i munnhulen u/bk";1.579;6;"K";1.579;3;0;"Ordinære innleggelser med overnatting";0;0;"168_169";"Ja"
"170";"Operasjoner på fordøyelsesorganer ITAD m/bk";3.811;23;"K";3.811;6;0;"Ordinære innleggelser med overnatting";0;1;"170_171";"Ja"
"171";"Operasjoner på fordøyelsesorganer ITAD u/bk";1.638;7;"K";1.638;6;0;"Ordinære innleggelser med overnatting";0;0;"170_171";"Ja"
"172";"Ondartede sykdommer i fordøyelsesorganene m/bk";1.627;18;"M";1.627;6;0;"Ordinære innleggelser med overnatting";0;1;"172_173";"Ja"
"173";"Ondartede sykdommer i fordøyelsesorganene u/bk";0.977;11;"M";0.977;6;0;"Ordinære innleggelser med overnatting";0;0;"172_173";"Ja"
"179";"Inflammatoriske tarmsykdommer";1.131;12;"M";1.131;6;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"180";"Gastrointestinal passasjehindring m/bk";1.042;12;"M";1.042;6;0;"Ordinære innleggelser med overnatting";0;1;"180_181";"Ja"
"181";"Gastrointestinal passasjehindring u/bk";0.612;5;"M";0.612;6;0;"Ordinære innleggelser med overnatting";0;0;"180_181";"Ja"
"182";"Øsofagitt, gastroenteritt og diverse >17 år m/bk";0.923;10;"M";0.923;6;0;"Ordinære innleggelser med overnatting";0;1;"182_183";"Ja"
"183";"Øsofagitt, gastroenteritt og diverse >17 år u/bk";0.518;4;"M";0.518;6;0;"Ordinære innleggelser med overnatting";0;0;"182_183";"Ja"
"185";"Tann/munnhulesykd. ekskl tannuttrekking >17 år";0.853;7;"M";0.853;3;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"186";"Tann/munnhulesykd. ekskl tannuttrekking 0-17 år";0.764;5;"M";0.764;3;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"188";"Sykdom i fordøyelsesorganene ITAD >17 år m/bk";1.249;15;"M";1.249;6;0;"Ordinære innleggelser med overnatting";0;1;"188_189";"Ja"
"189";"Sykdom i fordøyelsesorganene ITAD >17 år u/bk";0.687;6;"M";0.687;6;0;"Ordinære innleggelser med overnatting";0;0;"188_189";"Ja"
"190";"Sykdom i fordøyelsesorganene ITAD 0-17 år";0.760;6;"M";0.760;6;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"192";"Op på bukspyttkj/lever og portosyst shuntop u/bk";2.994;14;"K";2.994;7;0;"Ordinære innleggelser med overnatting";0;0;"191B_192";"Ja"
"193";"Op på galleveier foruten kun kolecystektomi m/bk";2.805;21;"K";2.805;7;0;"Ordinære innleggelser med overnatting";0;1;"193_194";"Ja"
"194";"Op på galleveier foruten kun kolecystektomi u/bk";1.813;9;"K";1.813;7;0;"Ordinære innleggelser med overnatting";0;0;"193_194";"Ja"
"195";"Kolecystektomi m/ eksplorasjon av gallegang m/bk";3.736;20;"K";3.736;7;0;"Ordinære innleggelser med overnatting";0;1;"195_196";"Ja"
"196";"Kolecystektomi m/ eksplorasjon av gallegang u/bk";1.650;7;"K";1.650;7;0;"Ordinære innleggelser med overnatting";0;0;"195_196";"Ja"
"197";"Åpen kolecystektomi u/ eksplorasjon av gallegang m/bk";4.759;33;"K";4.759;7;0;"Ordinære innleggelser med overnatting";0;1;"197_198";"Ja"
"198";"Åpen kolecystektomi u/ eksplorasjon av gallegang u/bk";2.063;10;"K";2.063;7;0;"Ordinære innleggelser med overnatting";0;0;"197_198";"Ja"
"199";"Diagn op på lever/galleveier/bukspyttkj m/ ondartet svulst";4.089;30;"K";4.089;7;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"200";"Diagn op på lever/galleveier/bukspyttkj u/ ondartet svulst";5.138;26;"K";5.138;7;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"201";"Op på lever, galleveier og bukspyttkjertel ITAD";4.170;27;"K";4.170;7;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"202";"Cirrhose og alkoholisk leversykdom";1.641;17;"M";1.641;7;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"203";"Ondartede svulster i lever/galleveier og bukspyttkjertel";1.332;14;"M";1.332;7;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"204";"Sykdommer i bukspyttkjertel ekskl ondartede svulster";1.315;17;"M";1.315;7;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"205";"Leversykdom ekskl ondartede/cirrhose/alkoholutløste m/bk";2.284;23;"M";2.284;7;0;"Ordinære innleggelser med overnatting";0;1;"205_206";"Ja"
"206";"Leversykdom ekskl ondartede/cirrhose/alkoholutløste u/bk";1.022;11;"M";1.022;7;0;"Ordinære innleggelser med overnatting";0;0;"205_206";"Ja"
"207";"Sykdommer i galleveiene ekskl ondartede m/bk";1.463;14;"M";1.463;7;0;"Ordinære innleggelser med overnatting";0;1;"207_208";"Ja"
"208";"Sykdommer i galleveiene ekskl ondartede u/bk";0.734;6;"M";0.734;7;0;"Ordinære innleggelser med overnatting";0;0;"207_208";"Ja"
"212";"Op på bekken/hofte/femur ekskl proteseop 0-17 år";2.906;14;"K";2.906;8;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"213";"Amputasjoner pga traume eller sykd i bevegelsesapparatet";4.938;30;"K";4.938;8;1;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"216";"Biopsier fra skjelett-muskelsystemet og bindevevet";2.928;39;"K";2.928;8;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"217";"Sårrev og hudtranspl ekskl hånd pga traume/sykd i HDG 8";6.668;45;"K";6.668;8;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"218";"Op på humerus og kne/legg/fot ekskl kneleddsop >17 år m/bk";3.208;19;"K";3.208;8;0;"Ordinære innleggelser med overnatting";0;1;"218_219";"Ja"
"219";"Op på humerus og kne/legg/fot ekskl kneleddsop >17 år u/bk";2.212;11;"K";2.212;8;0;"Ordinære innleggelser med overnatting";0;0;"218_219";"Ja"
"220";"Op på humerus og kne/legg/fot ekskl kneleddsop 0-17 år";1.516;6;"K";1.516;8;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"221";"Operasjoner på kneledd ekskl proteseop m/bk";3.135;24;"K";3.135;8;0;"Ordinære innleggelser med overnatting";0;1;"221_222";"Ja"
"222";"Operasjoner på kneledd ekskl proteseop u/bk";1.568;7;"K";0.751;8;0;"Ordinære innleggelser med overnatting";0;0;"221_222";"Ja"
"223";"Større op på humerus/albue/underarm ekskl skulderprotese m/bk";1.945;9;"K";1.945;8;0;"Ordinære innleggelser med overnatting";0;1;"223_224";"Ja"
"225";"Operasjoner på ankel og fot";1.865;10;"K";1.865;8;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"226";"Bløtdelsoperasjoner ITAD m/bk";2.199;15;"K";2.199;8;0;"Ordinære innleggelser med overnatting";0;1;"226_227";"Ja"
"227";"Bløtdelsoperasjoner ITAD u/bk";1.299;6;"K";1.299;8;0;"Ordinære innleggelser med overnatting";0;0;"226_227";"Ja"
"228";"Op på håndledd/hånd/tommel m/bk eller leddprotese håndledd/ hånd";2.043;13;"K";2.043;8;0;"Ordinære innleggelser med overnatting";0;1;"228_229";"Ja"
"229";"Op på håndledd/hånd u/bk eller sårrevisjon på overekstremitet";1.283;5;"K";1.283;8;0;"Ordinære innleggelser med overnatting";0;0;"228_229";"Ja"
"230";"Lokal eksisjon og fjerning av osteosyntesmat fra hofte/femur";1.175;6;"K";0.763;8;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
