"DRGKode";"DRGNavn";"Kostnadsvekt";"TrimpunktØvre";"ProsedyreinnholdsType";"DRGBasispoeng";"HDGKode";"ErGyldigForSekundærRehabilitering";"DRGTjenestetype";"ErGyldigForPoengtilleggAmbulantBehandling";"DRG_CCNivå";"DRG_CCGruppe";"ErSomatikk"
"18";"Sykdommer i hjernenerver og perifere nerver m/bk";1.419;23;"M";1.419;1;0;"Ordinære innleggelser med overnatting";0;1;"18_19";"Ja"
"19";"Sykdommer i hjernenerver og perifere nerver u/bk";0.833;9;"M";0.833;1;0;"Ordinære innleggelser med overnatting";0;0;"18_19";"Ja"
"20";"Infeksjon i nervesystemet ekskl viral meningitt";2.470;28;"M";2.470;1;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"21";"Viral meningitt";0.955;7;"M";0.955;1;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"23";"Ikke-traumatisk koma og stupor";0.915;8;"M";0.915;1;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"24";"Kramper og hodepine >17 år m/bk";1.040;11;"M";1.040;1;0;"Ordinære innleggelser med overnatting";0;1;"24_25";"Ja"
"25";"Kramper og hodepine >17 år u/bk";0.619;5;"M";0.619;1;0;"Ordinære innleggelser med overnatting";0;0;"24_25";"Ja"
"26";"Kramper og hodepine 0-17 år";0.896;7;"M";0.896;1;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"27";"Alvorlig traumatisk hjerneskade";1.233;15;"M";1.233;1;1;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"28";"Traumatisk hjerneskade >17 år m/bk";0.736;6;"M";0.736;1;0;"Ordinære innleggelser med overnatting";0;1;"28_29";"Ja"
"29";"Traumatisk hjerneskade >17 år u/bk";0.591;4;"M";0.591;1;0;"Ordinære innleggelser med overnatting";0;0;"28_29";"Ja"
"30";"Traumatisk hjerneskade 0-17 år";0.815;6;"M";0.815;1;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"31";"Hjernerystelse >17 år m/bk";0.578;5;"M";0.578;1;0;"Ordinære innleggelser med overnatting";0;1;"31_32";"Ja"
"32";"Hjernerystelse >17 år u/bk";0.489;3;"M";0.489;1;0;"Ordinære innleggelser med overnatting";0;0;"31_32";"Ja"
"33";"Hjernerystelse 0-17 år";0.365;2;"M";0.365;1;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"34";"Sykdommer i nervesystemet ITAD m/bk";1.203;13;"M";1.203;1;0;"Ordinære innleggelser med overnatting";0;1;"34_35";"Ja"
"35";"Sykdommer i nervesystemet ITAD u/bk";0.745;7;"M";0.745;1;0;"Ordinære innleggelser med overnatting";0;0;"34_35";"Ja"
"37";"Op på orbita inkl enukleasjon/eviscerasjon av øye";1.739;8;"K";1.739;2;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"39";"Operasjoner på linsen";0.943;4;"K";0.309;2;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
40;"Op på cornea/sklera/ekstraokulære strukturer  ";1.045;6;"K";1.045;2;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"42";"Intraokulære operasjoner på regnbuehinne, på glasslegeme og for glaukom";1.249;10;"K";1.249;2;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"43";"Hyphema, kontusjonsskader i øyeregionen";0.599;4;"M";0.599;2;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"44";"Alvorlige akutte øyeinfeksjoner";1.346;14;"M";1.346;2;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"45";"Nevrologiske øyesykdommer";0.776;7;"M";0.776;2;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"46";"Øyesykdommer ITAD >17 år m/bk";0.970;10;"M";0.970;2;0;"Ordinære innleggelser med overnatting";0;1;"46_47";"Ja"
"47";"Øyesykdommer ITAD >17 år u/bk";0.703;6;"M";0.703;2;0;"Ordinære innleggelser med overnatting";0;0;"46_47";"Ja"
"48";"Øyesykdommer ITAD 0-17 år";0.981;10;"M";0.981;2;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"52";"Operasjoner for leppe- og ganespalte";2.225;8;"K";2.225;3;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"55";"Diverse operasjoner på øre/nese/hals";1.367;4;"K";1.367;3;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"56";"Plastiske operasjoner på nesen";1.336;3;"K";0.580;3;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"63";"Operasjoner på øre, nese, hals ITAD";1.707;6;"K";1.707;3;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"64";"Ondartede sykdommer i øre, nese, hals";2.645;26;"M";2.645;3;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"65";"Svimmelhet";0.604;5;"M";0.604;3;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"66";"Neseblødning";0.668;5;"M";0.668;3;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"67";"Epiglottitt";3.180;13;"M";3.180;3;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"68";"Otitis media og øvre luftveisinfeksjon >17 år m/bk";0.909;9;"M";0.909;3;0;"Ordinære innleggelser med overnatting";0;1;"68_69";"Ja"
"69";"Otitis media og øvre luftveisinfeksjon >17 år u/bk";0.622;5;"M";0.622;3;0;"Ordinære innleggelser med overnatting";0;0;"68_69";"Ja"
"71";"Laryngotrakeitt";0.565;4;"M";0.565;3;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"72";"Neseskade og medfødt nesedeformitet";0.569;3;"M";0.569;3;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"73";"Sykdommer i øre, nese, hals ITAD >17 år";0.817;7;"M";0.817;3;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"74";"Sykdommer i øre, nese, hals ITAD 0-17 år";0.861;7;"M";0.861;3;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"75";"Større thoraxop, visse op på perikard/trachea/diafragma m.m.";4.499;21;"K";4.499;4;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"76";"Op på åndedrettssystemet ITAD m/bk";4.907;28;"K";4.907;4;0;"Ordinære innleggelser med overnatting";0;1;"76_77";"Ja"
"77";"Op på åndedrettssystemet ITAD u/bk";2.003;10;"K";2.003;4;0;"Ordinære innleggelser med overnatting";0;0;"76_77";"Ja"
"78";"Lungeemboli, luftemboli og fettembolisyndrom";1.095;10;"M";1.095;4;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"79";"Infeksjoner og inflammasjoner i åndedr.syst >17 år m/bk";2.243;24;"M";2.243;4;0;"Ordinære innleggelser med overnatting";0;1;"79_80";"Ja"
"80";"Infeksjoner og inflammasjoner i åndedr.syst >17 år u/bk";1.392;16;"M";1.392;4;0;"Ordinære innleggelser med overnatting";0;0;"79_80";"Ja"
"81";"Infeksjoner og inflammasjoner i åndedr.syst 0-17 år";1.829;15;"M";1.829;4;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"82";"Svulster i åndedrettssystemet";1.292;15;"M";1.292;4;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"83";"Større thoraxskader m/bk";1.494;12;"M";1.494;4;0;"Ordinære innleggelser med overnatting";0;1;"83_84";"Ja"
"84";"Større thoraxskader u/bk";0.780;7;"M";0.780;4;0;"Ordinære innleggelser med overnatting";0;0;"83_84";"Ja"
"85";"Pleuritis exudativa m/bk";1.490;16;"M";1.490;4;0;"Ordinære innleggelser med overnatting";0;1;"85_86";"Ja"
"86";"Pleuritis exudativa u/bk";0.907;9;"M";0.907;4;0;"Ordinære innleggelser med overnatting";0;0;"85_86";"Ja"
"87";"Respirasjonssvikt og lungeødem ekskl ved hjertesvikt";0.962;11;"M";0.962;4;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"88";"Kroniske obstruktive lungesykdommer  (KOLS)";0.873;9;"M";0.873;4;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"89";"Lungebetennelse og pleuritt >17 år m/bk";1.239;12;"M";1.239;4;0;"Ordinære innleggelser med overnatting";0;1;"89_90";"Ja"
"90";"Lungebetennelse og pleuritt >17 år u/bk";0.862;7;"M";0.862;4;0;"Ordinære innleggelser med overnatting";0;0;"89_90";"Ja"
"92";"Interstitielle lungesykdommer m/bk";1.466;16;"M";1.466;4;0;"Ordinære innleggelser med overnatting";0;1;"92_93";"Ja"
"93";"Interstitielle lungesykdommer u/bk";0.925;8;"M";0.925;4;0;"Ordinære innleggelser med overnatting";0;0;"92_93";"Ja"
"94";"Pneumothorax m/bk";1.971;17;"M";1.971;4;0;"Ordinære innleggelser med overnatting";0;1;"94_95";"Ja"
"95";"Pneumothorax u/bk";1.229;9;"M";1.229;4;0;"Ordinære innleggelser med overnatting";0;0;"94_95";"Ja"
"96";"Bronkitt og astma >17 år m/bk";0.896;9;"M";0.896;4;0;"Ordinære innleggelser med overnatting";0;1;"96_97";"Ja"
"97";"Bronkitt og astma >17 år u/bk";0.693;7;"M";0.693;4;0;"Ordinære innleggelser med overnatting";0;0;"96_97";"Ja"
"99";"Funn og symptomer fra åndedrettsorganer m/bk";0.744;7;"M";0.744;4;0;"Ordinære innleggelser med overnatting";0;1;"99_100";"Ja"
"100";"Funn og symptomer fra åndedrettsorganer u/bk";0.528;11;"M";0.528;4;0;"Ordinære innleggelser med overnatting";0;0;"99_100";"Ja"
"101";"Sykdommer i åndedrettsorganer ITAD m/bk";0.991;11;"M";0.991;4;0;"Ordinære innleggelser med overnatting";0;1;"101_102";"Ja"
"102";"Sykdommer i åndedrettsorganer ITAD u/bk";0.623;6;"M";0.623;4;0;"Ordinære innleggelser med overnatting";0;0;"101_102";"Ja"
"103";"Hjertetransplantasjon og implantasjon av VAD";40.612;110;"K";40.612;5;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"108";"Op på hjerte og store intratorakale kar ITAD";6.802;23;"K";6.802;5;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"110";"Større kardiovaskulære op m/bk";5.833;24;"K";5.833;5;0;"Ordinære innleggelser med overnatting";0;1;"110_111";"Ja"
"111";"Større kardiovaskulære op u/bk";3.362;10;"K";3.362;5;0;"Ordinære innleggelser med overnatting";0;0;"110_111";"Ja"
"113";"Amputasjon av underekstr ekskl tå v/ sirk.svikt";4.724;30;"K";4.724;5;1;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"114";"Amputasjon av overekstr eller tå v/ sirk.svikt";2.244;25;"K";2.244;5;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"119";"Inngrep for åreknuter";1.166;5;"K";0.250;5;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"120";"Operasjoner på sirkulasjonsorganene ITAD";1.419;11;"K";1.419;5;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"121";"Sirk.sykdom m/ AMI og kardiov komplik i live etter 4 dager";1.227;12;"M";1.227;5;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"122";"Sirk.sykdom m/ AMI u/kardiov komplik i live etter 4 dager";0.646;6;"M";0.646;5;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"123";"Akutt myokardinfarkt (AMI), liggetid < 4 dager, utskrevet død";0.561;3;"M";0.561;5;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"124";"Diagnostisk perkutan hjerteprosedyre m/ kompliserende hjertelidelse";1.286;11;"M";1.286;5;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"125";"Diagnostisk perkutan hjerteprosedyre u/ kompliserende hjertelidelse";0.796;5;"M";0.796;5;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"126";"Akutt og subakutt endokarditt";4.581;43;"M";4.581;5;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"127";"Hjertesvikt og ikke-traumatisk sjokk";1.361;14;"M";1.361;5;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"128";"Årebetennelse i de dype vener";0.636;6;"M";0.636;5;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"129";"Hjertestans uten kjent årsak";1.606;17;"M";1.606;5;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"130";"Sykdommer i de perifere kar m/bk";1.070;12;"M";1.070;5;0;"Ordinære innleggelser med overnatting";0;1;"130_131";"Ja"
"131";"Sykdommer i de perifere kar u/bk";0.821;6;"M";0.821;5;0;"Ordinære innleggelser med overnatting";0;0;"130_131";"Ja"
"132";"Antatt ateroskler hjertesykdom m/bk";0.698;7;"M";0.698;5;0;"Ordinære innleggelser med overnatting";0;1;"132_133";"Ja"
"133";"Antatt ateroskler hjertesykdom u/bk";0.445;4;"M";0.445;5;0;"Ordinære innleggelser med overnatting";0;0;"132_133";"Ja"
"134";"Hypertensjon";0.564;5;"M";0.564;5;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"135";"Hjertefeil og komplik til kunstig hjerteklaff >17 år m/bk";1.194;13;"M";1.194;5;0;"Ordinære innleggelser med overnatting";0;1;"135_136";"Ja"
"136";"Hjertefeil og komplik til kunstig hjerteklaff >17 år u/bk";0.720;7;"M";0.720;5;0;"Ordinære innleggelser med overnatting";0;0;"135_136";"Ja"
"137";"Hjertefeil og komplik til kunstig hjerteklaff 0-17 år";1.401;11;"M";1.401;5;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"138";"Hjertearytmier og ledningsforstyrrelser m/bk";0.904;9;"M";0.904;5;0;"Ordinære innleggelser med overnatting";0;1;"138_139";"Ja"
"139";"Hjertearytmier og ledningsforstyrrelser u/bk";0.502;4;"M";0.502;5;0;"Ordinære innleggelser med overnatting";0;0;"138_139";"Ja"
"140";"Angina pectoris";0.613;6;"M";0.613;5;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"141";"Synkope og kollaps m/bk";0.659;6;"M";0.659;5;0;"Ordinære innleggelser med overnatting";0;1;"141_142";"Ja"
"142";"Synkope og kollaps u/bk";0.502;4;"M";0.502;5;0;"Ordinære innleggelser med overnatting";0;0;"141_142";"Ja"
"143";"Brystsmerter";0.407;3;"M";0.407;5;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"144";"Sirkulasjonssykdommer ITAD m/bk";1.270;15;"M";1.270;5;0;"Ordinære innleggelser med overnatting";0;1;"144_145";"Ja"
"145";"Sirkulasjonssykdommer ITAD u/bk";0.711;7;"M";0.711;5;0;"Ordinære innleggelser med overnatting";0;0;"144_145";"Ja"
"146";"Reseksjonsinngrep på rectum m/bk";5.457;28;"K";5.457;6;0;"Ordinære innleggelser med overnatting";0;1;"146_147";"Ja"
"147";"Reseksjonsinngrep på rectum u/bk";3.622;13;"K";3.622;6;0;"Ordinære innleggelser med overnatting";0;0;"146_147";"Ja"
"148";"Større operasjoner på tynntarm og tykktarm m/bk";4.935;32;"K";4.935;6;0;"Ordinære innleggelser med overnatting";0;1;"148_149";"Ja"
"149";"Større operasjoner på tynntarm og tykktarm u/bk";2.821;11;"K";2.821;6;0;"Ordinære innleggelser med overnatting";0;0;"148_149";"Ja"
"150";"Operasjon for tarmadheranser m/bk";4.032;23;"K";4.032;6;0;"Ordinære innleggelser med overnatting";0;1;"150_151";"Ja"
"151";"Operasjon for tarmadheranser u/bk";2.342;11;"K";2.342;6;0;"Ordinære innleggelser med overnatting";0;0;"150_151";"Ja"
"152";"Mindre operasjoner på tynntarm og tykktarm m/bk";2.527;17;"K";2.527;6;0;"Ordinære innleggelser med overnatting";0;1;"152_153";"Ja"
"153";"Mindre operasjoner på tynntarm og tykktarm u/bk";1.860;8;"K";1.860;6;0;"Ordinære innleggelser med overnatting";0;0;"152_153";"Ja"
"156";"Op på spiserør, magesekk og tolvf. 0-17 år";3.628;18;"K";3.628;6;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"157";"Enkle tarmop og op på anus og fremlagt tarm m/bk";1.398;13;"K";1.398;6;0;"Ordinære innleggelser med overnatting";0;1;"157_158";"Ja"
"158";"Enkle tarmop og op på anus og fremlagt tarm u/bk";0.868;5;"K";0.387;6;0;"Ordinære innleggelser med overnatting";0;0;"157_158";"Ja"
"159";"Brokkop ekskl inguinal og femoral >17 år m/bk";2.065;10;"K";2.065;6;0;"Ordinære innleggelser med overnatting";0;1;"159_160";"Ja"
"160";"Brokkop ekskl inguinal og femoral >17 år u/bk";1.440;6;"K";0.803;6;0;"Ordinære innleggelser med overnatting";0;0;"159_160";"Ja"
"161";"Inguinal og femoral brokkoperasjon >17 år m/bk";1.311;7;"K";0.967;6;0;"Ordinære innleggelser med overnatting";0;1;"161_162";"Ja"
"162";"Inguinal og femoral brokkoperasjon >17 år u/bk";1.056;3;"K";0.712;6;0;"Ordinære innleggelser med overnatting";0;0;"161_162";"Ja"
"163";"Lyskebrokkoperasjon 0-17 år";1.173;5;"K";1.173;6;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"167";"Appendektomi uten kompliserende hovedtilstand";1.201;4;"K";1.186;6;0;"Ordinære innleggelser med overnatting";0;0;"166N_167";"Ja"
"168";"Prosedyrer i munnhulen m/bk";3.367;15;"K";3.367;3;0;"Ordinære innleggelser med overnatting";0;1;"168_169";"Ja"
"169";"Prosedyrer i munnhulen u/bk";1.770;6;"K";1.770;3;0;"Ordinære innleggelser med overnatting";0;0;"168_169";"Ja"
"170";"Operasjoner på fordøyelsesorganer ITAD m/bk";3.748;22;"K";3.748;6;0;"Ordinære innleggelser med overnatting";0;1;"170_171";"Ja"
"171";"Operasjoner på fordøyelsesorganer ITAD u/bk";1.559;7;"K";1.559;6;0;"Ordinære innleggelser med overnatting";0;0;"170_171";"Ja"
"172";"Ondartede sykdommer i fordøyelsesorganene m/bk";1.400;16;"M";1.400;6;0;"Ordinære innleggelser med overnatting";0;1;"172_173";"Ja"
"173";"Ondartede sykdommer i fordøyelsesorganene u/bk";0.818;8;"M";0.818;6;0;"Ordinære innleggelser med overnatting";0;0;"172_173";"Ja"
"179";"Inflammatoriske tarmsykdommer";1.155;14;"M";1.155;6;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"180";"Gastrointestinal passasjehindring m/bk";0.970;11;"M";0.970;6;0;"Ordinære innleggelser med overnatting";0;1;"180_181";"Ja"
"181";"Gastrointestinal passasjehindring u/bk";0.624;5;"M";0.624;6;0;"Ordinære innleggelser med overnatting";0;0;"180_181";"Ja"
"182";"Øsofagitt, gastroenteritt og diverse >17 år m/bk";0.886;10;"M";0.886;6;0;"Ordinære innleggelser med overnatting";0;1;"182_183";"Ja"
"183";"Øsofagitt, gastroenteritt og diverse >17 år u/bk";0.509;4;"M";0.509;6;0;"Ordinære innleggelser med overnatting";0;0;"182_183";"Ja"
"185";"Tann/munnhulesykd. ekskl tannuttrekking >17 år";0.824;7;"M";0.824;3;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"186";"Tann/munnhulesykd. ekskl tannuttrekking 0-17 år";0.805;5;"M";0.805;3;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"188";"Sykdom i fordøyelsesorganene ITAD >17 år m/bk";1.189;15;"M";1.189;6;0;"Ordinære innleggelser med overnatting";0;1;"188_189";"Ja"
"189";"Sykdom i fordøyelsesorganene ITAD >17 år u/bk";0.702;6;"M";0.702;6;0;"Ordinære innleggelser med overnatting";0;0;"188_189";"Ja"
"190";"Sykdom i fordøyelsesorganene ITAD 0-17 år";0.843;9;"M";0.843;6;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"192";"Op på bukspyttkj/lever og portosyst shuntop u/bk";3.607;12;"K";3.607;7;0;"Ordinære innleggelser med overnatting";0;0;"191B_192";"Ja"
"193";"Op på galleveier foruten kun kolecystektomi m/bk";2.693;21;"K";2.693;7;0;"Ordinære innleggelser med overnatting";0;1;"193_194";"Ja"
"194";"Op på galleveier foruten kun kolecystektomi u/bk";1.494;10;"K";1.494;7;0;"Ordinære innleggelser med overnatting";0;0;"193_194";"Ja"
"195";"Kolecystektomi m/ eksplorasjon av gallegang m/bk";4.450;35;"K";4.450;7;0;"Ordinære innleggelser med overnatting";0;1;"195_196";"Ja"
"196";"Kolecystektomi m/ eksplorasjon av gallegang u/bk";2.366;7;"K";2.366;7;0;"Ordinære innleggelser med overnatting";0;0;"195_196";"Ja"
"197";"Åpen kolecystektomi u/ eksplorasjon av gallegang m/bk";4.812;21;"K";4.812;7;0;"Ordinære innleggelser med overnatting";0;1;"197_198";"Ja"
"198";"Åpen kolecystektomi u/ eksplorasjon av gallegang u/bk";2.205;7;"K";2.205;7;0;"Ordinære innleggelser med overnatting";0;0;"197_198";"Ja"
"199";"Diagn op på lever/galleveier/bukspyttkj m/ ondartet svulst";3.199;20;"K";3.199;7;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"200";"Diagn op på lever/galleveier/bukspyttkj u/ ondartet svulst";7.566;46;"K";7.566;7;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"201";"Op på lever, galleveier og bukspyttkjertel ITAD";2.740;32;"K";2.740;7;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"202";"Cirrhose og alkoholisk leversykdom";1.600;22;"M";1.600;7;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"203";"Ondartede svulster i lever/galleveier og bukspyttkjertel";1.268;14;"M";1.268;7;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"204";"Sykdommer i bukspyttkjertel ekskl ondartede svulster";1.435;16;"M";1.435;7;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"205";"Leversykdom ekskl ondartede/cirrhose/alkoholutløste m/bk";1.954;20;"M";1.954;7;0;"Ordinære innleggelser med overnatting";0;1;"205_206";"Ja"
"206";"Leversykdom ekskl ondartede/cirrhose/alkoholutløste u/bk";0.956;10;"M";0.956;7;0;"Ordinære innleggelser med overnatting";0;0;"205_206";"Ja"
"207";"Sykdommer i galleveiene ekskl ondartede m/bk";1.417;14;"M";1.417;7;0;"Ordinære innleggelser med overnatting";0;1;"207_208";"Ja"
"208";"Sykdommer i galleveiene ekskl ondartede u/bk";0.734;6;"M";0.734;7;0;"Ordinære innleggelser med overnatting";0;0;"207_208";"Ja"
"212";"Op på bekken/hofte/femur ekskl proteseop 0-17 år";2.620;13;"K";2.620;8;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"213";"Amputasjoner pga traume eller sykd i bevegelsesapparatet";4.341;30;"K";4.341;8;1;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"216";"Biopsier fra skjelett-muskelsystemet og bindevevet";2.320;18;"K";2.320;8;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"217";"Sårrev og hudtranspl ekskl hånd pga traume/sykd i HDG 8";7.210;46;"K";7.210;8;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"218";"Op på humerus og kne/legg/fot ekskl kneleddsop >17 år m/bk";3.011;18;"K";3.011;8;0;"Ordinære innleggelser med overnatting";0;1;"218_219";"Ja"
"219";"Op på humerus og kne/legg/fot ekskl kneleddsop >17 år u/bk";2.124;11;"K";2.124;8;0;"Ordinære innleggelser med overnatting";0;0;"218_219";"Ja"
"220";"Op på humerus og kne/legg/fot ekskl kneleddsop 0-17 år";1.502;7;"K";1.502;8;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"221";"Operasjoner på kneledd ekskl proteseop m/bk";3.390;27;"K";3.390;8;0;"Ordinære innleggelser med overnatting";0;1;"221_222";"Ja"
"222";"Operasjoner på kneledd ekskl proteseop u/bk";1.433;7;"K";0.679;8;0;"Ordinære innleggelser med overnatting";0;0;"221_222";"Ja"
"223";"Større op på humerus/albue/underarm ekskl skulderprotese m/bk";1.906;10;"K";1.906;8;0;"Ordinære innleggelser med overnatting";0;1;"223_224";"Ja"
"225";"Operasjoner på ankel og fot";1.844;10;"K";1.844;8;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
"226";"Bløtdelsoperasjoner ITAD m/bk";2.202;17;"K";2.202;8;0;"Ordinære innleggelser med overnatting";0;1;"226_227";"Ja"
"227";"Bløtdelsoperasjoner ITAD u/bk";1.221;6;"K";1.221;8;0;"Ordinære innleggelser med overnatting";0;0;"226_227";"Ja"
"228";"Op på håndledd/hånd/tommel m/bk eller leddprotese håndledd/ hånd";1.781;13;"K";1.781;8;0;"Ordinære innleggelser med overnatting";0;1;"228_229";"Ja"
"229";"Op på håndledd/hånd u/bk eller sårrevisjon på overekstremitet";1.156;5;"K";1.156;8;0;"Ordinære innleggelser med overnatting";0;0;"228_229";"Ja"
"230";"Lokal eksisjon og fjerning av osteosyntesmat fra hofte/femur";1.146;7;"K";0.748;8;0;"Ordinære innleggelser med overnatting";0;"Null";"Null";"Ja"
