"STGKode";"STGNavn";"Periode";"HDGKode";"STGBasispoeng";"STGGruppeKode";"STGGruppeNavn";"Kostnadsvekt"
"XS04";"Registrering i medisinske kvalitetsregistre";"År";40;0.009;901;"Registrering i medisinske kvalitetsregistre";0.009
"XS05";"Oppfølging og monitorering av pasienter med andre somatiske lidelser basert på Patient Reported Outcome (PRO)";"Tertial";40;0.015;553;"Digitale tjenester for oppfølging av pasienter med kroniske tilstander - 3";0.015
"XS06";"Fjernmonitorering og asynkron telemedisinsk oppfølging av pasienter med andre somatiske lidelser";"Tertial";40;0.015;504;"Telemedisinsk oppfølging - 4";0.015
"XS07";"Nettbasert behandlingsprogram, somatiske tilstander";"Tertial";40;0.015;506;"Nettbasert behandling - somatikk";0.015
"XS09";"Teambaserte tverrfaglige oppfølgingstjenester";"Måned";40;0.050;701;"Teambaserte tjenester";0.050
"XS80";"Pasientadministrert legemiddelbehandling knyttet til nytt finansieringsansvar per 1.september 2020";"År";40;0.000;803;"Pasientadministrert legemiddelbehandling annet - 3";0.000
"XS81";"Pasientadministrert legemiddelbehandling for behandling av sjeldne tilstander";"År";40;0.000;802;"Pasientadministrert legemiddelbehandling annet - 2";0.000
"XS82";"Pasientadministrert legemiddelbehandling knyttet til nytt finansieringsansvar per 1.februar 2021";"År";40;0.000;804;"Pasientadministrert legemiddelbehandling annet - 4";0.000
"XS99";"Annen pasientadministrert legemiddelbehandling";"År";40;0.199;801;"Pasientadministrert legemiddelbehandling annet - 1";0.199
"ZS470";"Feilgrupperte særtjenester";"År";99;0.000;999;"Andre særtjenester";0.000
