"DRGKode";"DRGNavn";"Kostnadsvekt";"TrimpunktØvre";"ProsedyreinnholdsType";"DRGBasispoeng";"HDGKode";"ErGyldigForSekundærRehabilitering";"DRGTjenestetype";"DRG_CCNivå";"DRG_CCGruppe"
"23";"Ikke-traumatisk koma og stupor";0.894;7;"M";0.894;1;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"24";"Kramper og hodepine >17 år m/bk";0.987;10;"M";0.987;1;0;"Ordinære innleggelser med overnatting";1;"24_25"
"25";"Kramper og hodepine >17 år u/bk";0.591;5;"M";0.550;1;0;"Ordinære innleggelser med overnatting";0;"24_25"
"26";"Kramper og hodepine 0-17 år";0.711;7;"M";0.662;1;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"27";"Alvorlig traumatisk hjerneskade";1.322;15;"M";1.322;1;1;"Ordinære innleggelser med overnatting";"Null";"Null"
"28";"Traumatisk hjerneskade >17 år m/bk";1.023;7;"M";1.023;1;0;"Ordinære innleggelser med overnatting";1;"28_29"
"29";"Traumatisk hjerneskade >17 år u/bk";0.817;3;"M";0.817;1;0;"Ordinære innleggelser med overnatting";0;"28_29"
"30";"Traumatisk hjerneskade 0-17 år";0.876;6;"M";0.876;1;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"31";"Hjernerystelse >17 år m/bk";0.537;5;"M";0.500;1;0;"Ordinære innleggelser med overnatting";1;"31_32"
"32";"Hjernerystelse >17 år u/bk";0.464;3;"M";0.432;1;0;"Ordinære innleggelser med overnatting";0;"31_32"
"33";"Hjernerystelse 0-17 år";0.384;10;"M";0.358;1;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"34";"Sykdommer i nervesystemet ITAD m/bk";1.232;15;"M";1.232;1;0;"Ordinære innleggelser med overnatting";1;"34_35"
"35";"Sykdommer i nervesystemet ITAD u/bk";0.731;6;"M";0.731;1;0;"Ordinære innleggelser med overnatting";0;"34_35"
"37";"Op på orbita inkl enukleasjon/eviscerasjon av øye";1.735;10;"K";1.735;2;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"39";"Operasjoner på linsen";0.912;4;"K";0.221;2;0;"Ordinære innleggelser med overnatting";"Null";"Null"
40;"Op på cornea/sklera/ekstraokulære strukturer  ";1.253;5;"K";1.253;2;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"42";"Intraokulære operasjoner på regnbuehinne, på glasslegeme og for glaukom";1.364;10;"K";1.364;2;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"43";"Hyphema, kontusjonsskader i øyeregionen";0.961;6;"M";0.961;2;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"44";"Alvorlige akutte øyeinfeksjoner";1.578;12;"M";1.578;2;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"45";"Nevrologiske øyesykdommer";0.824;7;"M";0.824;2;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"46";"Øyesykdommer ITAD >17 år m/bk";0.962;9;"M";0.962;2;0;"Ordinære innleggelser med overnatting";1;"46_47"
"47";"Øyesykdommer ITAD >17 år u/bk";0.814;8;"M";0.814;2;0;"Ordinære innleggelser med overnatting";0;"46_47"
"48";"Øyesykdommer ITAD 0-17 år";1.122;14;"M";1.122;2;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"52";"Operasjoner for leppe- og ganespalte";1.890;8;"K";1.890;3;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"55";"Diverse operasjoner på øre/nese/hals";1.269;4;"K";1.269;3;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"56";"Plastiske operasjoner på nesen";1.108;3;"K";0.494;3;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"63";"Operasjoner på øre, nese, hals ITAD";1.585;7;"K";1.585;3;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"64";"Ondartede sykdommer i øre, nese, hals";2.270;26;"M";2.270;3;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"65";"Svimmelhet";0.623;5;"M";0.623;3;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"66";"Neseblødning";0.663;6;"M";0.339;3;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"67";"Epiglottitt";1.394;8;"M";1.394;3;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"68";"Otitis media og øvre luftveisinfeksjon >17 år m/bk";0.891;8;"M";0.891;3;0;"Ordinære innleggelser med overnatting";1;"68_69"
"69";"Otitis media og øvre luftveisinfeksjon >17 år u/bk";0.571;5;"M";0.571;3;0;"Ordinære innleggelser med overnatting";0;"68_69"
"71";"Laryngotrakeitt";0.541;4;"M";0.541;3;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"72";"Neseskade og medfødt nesedeformitet";0.580;3;"M";0.580;3;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"73";"Sykdommer i øre, nese, hals ITAD >17 år";0.800;6;"M";0.800;3;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"74";"Sykdommer i øre, nese, hals ITAD 0-17 år";0.726;4;"M";0.726;3;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"75";"Større thoraxop, visse op på perikard/trachea/diafragma m.m.";4.323;27;"K";4.323;4;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"76";"Op på åndedrettssystemet ITAD m/bk";4.689;31;"K";4.689;4;0;"Ordinære innleggelser med overnatting";1;"76_77"
"77";"Op på åndedrettssystemet ITAD u/bk";2.060;10;"K";2.060;4;0;"Ordinære innleggelser med overnatting";0;"76_77"
"78";"Lungeemboli, luftemboli og fettembolisyndrom";1.108;11;"M";1.108;4;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"79";"Infeksjoner og inflammasjoner i åndedr.syst >17 år m/bk";2.343;25;"M";2.343;4;0;"Ordinære innleggelser med overnatting";1;"79_80"
"80";"Infeksjoner og inflammasjoner i åndedr.syst >17 år u/bk";1.377;15;"M";1.377;4;0;"Ordinære innleggelser med overnatting";0;"79_80"
"81";"Infeksjoner og inflammasjoner i åndedr.syst 0-17 år";2.260;17;"M";2.260;4;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"82";"Svulster i åndedrettssystemet";1.294;15;"M";1.294;4;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"83";"Større thoraxskader m/bk";1.570;12;"M";1.570;4;0;"Ordinære innleggelser med overnatting";1;"83_84"
"84";"Større thoraxskader u/bk";0.765;6;"M";0.765;4;0;"Ordinære innleggelser med overnatting";0;"83_84"
"85";"Pleuritis exudativa m/bk";1.441;16;"M";1.441;4;0;"Ordinære innleggelser med overnatting";1;"85_86"
"86";"Pleuritis exudativa u/bk";0.899;12;"M";0.899;4;0;"Ordinære innleggelser med overnatting";0;"85_86"
"87";"Respirasjonssvikt og lungeødem ekskl ved hjertesvikt";1.172;14;"M";1.172;4;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"88";"Kroniske obstruktive lungesykdommer  (KOLS)";0.865;12;"M";0.865;4;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"89";"Lungebetennelse og pleuritt >17 år m/bk";1.256;12;"M";1.256;4;0;"Ordinære innleggelser med overnatting";1;"89_90"
"90";"Lungebetennelse og pleuritt >17 år u/bk";0.828;7;"M";0.828;4;0;"Ordinære innleggelser med overnatting";0;"89_90"
"92";"Interstitielle lungesykdommer m/bk";1.363;19;"M";1.363;4;0;"Ordinære innleggelser med overnatting";1;"92_93"
"93";"Interstitielle lungesykdommer u/bk";0.928;10;"M";0.928;4;0;"Ordinære innleggelser med overnatting";0;"92_93"
"94";"Pneumothorax m/bk";1.937;18;"M";1.937;4;0;"Ordinære innleggelser med overnatting";1;"94_95"
"95";"Pneumothorax u/bk";1.092;9;"M";1.092;4;0;"Ordinære innleggelser med overnatting";0;"94_95"
"96";"Bronkitt og astma >17 år m/bk";0.982;11;"M";0.982;4;0;"Ordinære innleggelser med overnatting";1;"96_97"
"97";"Bronkitt og astma >17 år u/bk";0.631;10;"M";0.631;4;0;"Ordinære innleggelser med overnatting";0;"96_97"
"99";"Funn og symptomer fra åndedrettsorganer m/bk";0.706;7;"M";0.706;4;0;"Ordinære innleggelser med overnatting";1;"99_100"
"100";"Funn og symptomer fra åndedrettsorganer u/bk";0.481;4;"M";0.446;4;0;"Ordinære innleggelser med overnatting";0;"99_100"
"101";"Sykdommer i åndedrettsorganer ITAD m/bk";1.135;11;"M";1.135;4;0;"Ordinære innleggelser med overnatting";1;"101_102"
"102";"Sykdommer i åndedrettsorganer ITAD u/bk";0.649;5;"M";0.649;4;0;"Ordinære innleggelser med overnatting";0;"101_102"
"103";"Hjertetransplantasjon og implantasjon av VAD";42.823;83;"K";42.823;5;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"108";"Op på hjerte og store intratorakale kar ITAD";6.637;35;"K";6.637;5;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"110";"Større kardiovaskulære op m/bk";5.870;27;"K";5.870;5;0;"Ordinære innleggelser med overnatting";1;"110_111"
"111";"Større kardiovaskulære op u/bk";3.264;10;"K";3.264;5;0;"Ordinære innleggelser med overnatting";0;"110_111"
"113";"Amputasjon av underekstr ekskl tå v/ sirk.svikt";5.021;30;"K";5.021;5;1;"Ordinære innleggelser med overnatting";"Null";"Null"
"114";"Amputasjon av overekstr eller tå v/ sirk.svikt";2.125;35;"K";2.125;5;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"119";"Inngrep for åreknuter";1.001;4;"K";0.244;5;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"120";"Operasjoner på sirkulasjonsorganene ITAD";1.569;11;"K";1.569;5;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"121";"Sirk.sykdom m/ AMI og kardiov komplik i live etter 4 dager";1.210;12;"M";1.210;5;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"122";"Sirk.sykdom m/ AMI u/kardiov komplik i live etter 4 dager";0.665;6;"M";0.665;5;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"123";"Akutt myokardinfarkt (AMI), liggetid < 4 dager, utskrevet død";0.577;3;"M";0.577;5;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"124";"Diagnostisk perkutan hjerteprosedyre m/ kompliserende hjertelidelse";1.326;11;"M";1.326;5;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"125";"Diagnostisk perkutan hjerteprosedyre u/ kompliserende hjertelidelse";0.771;6;"M";0.771;5;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"126";"Akutt og subakutt endokarditt";4.551;44;"M";4.551;5;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"127";"Hjertesvikt og ikke-traumatisk sjokk";1.361;15;"M";1.361;5;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"128";"Årebetennelse i de dype vener";0.654;6;"M";0.654;5;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"129";"Hjertestans uten kjent årsak";1.437;17;"M";1.437;5;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"130";"Sykdommer i de perifere kar m/bk";1.049;12;"M";1.049;5;0;"Ordinære innleggelser med overnatting";1;"130_131"
"131";"Sykdommer i de perifere kar u/bk";0.778;6;"M";0.778;5;0;"Ordinære innleggelser med overnatting";0;"130_131"
"132";"Antatt ateroskler hjertesykdom m/bk";0.695;10;"M";0.695;5;0;"Ordinære innleggelser med overnatting";1;"132_133"
"133";"Antatt ateroskler hjertesykdom u/bk";0.464;8;"M";0.403;5;0;"Ordinære innleggelser med overnatting";0;"132_133"
"134";"Hypertensjon";0.601;6;"M";0.601;5;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"135";"Hjertefeil og komplik til kunstig hjerteklaff >17 år m/bk";1.221;14;"M";1.221;5;0;"Ordinære innleggelser med overnatting";1;"135_136"
"136";"Hjertefeil og komplik til kunstig hjerteklaff >17 år u/bk";0.704;7;"M";0.704;5;0;"Ordinære innleggelser med overnatting";0;"135_136"
"137";"Hjertefeil og komplik til kunstig hjerteklaff 0-17 år";1.554;14;"M";1.554;5;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"138";"Hjertearytmier og ledningsforstyrrelser m/bk";0.868;8;"M";0.868;5;0;"Ordinære innleggelser med overnatting";1;"138_139"
"139";"Hjertearytmier og ledningsforstyrrelser u/bk";0.507;4;"M";0.440;5;0;"Ordinære innleggelser med overnatting";0;"138_139"
"140";"Angina pectoris";0.602;6;"M";0.602;5;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"141";"Synkope og kollaps m/bk";0.651;6;"M";0.651;5;0;"Ordinære innleggelser med overnatting";1;"141_142"
"142";"Synkope og kollaps u/bk";0.497;4;"M";0.431;5;0;"Ordinære innleggelser med overnatting";0;"141_142"
"143";"Brystsmerter";0.398;3;"M";0.345;5;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"144";"Sirkulasjonssykdommer ITAD m/bk";1.358;15;"M";1.358;5;0;"Ordinære innleggelser med overnatting";1;"144_145"
"145";"Sirkulasjonssykdommer ITAD u/bk";0.778;12;"M";0.778;5;0;"Ordinære innleggelser med overnatting";0;"144_145"
"146";"Reseksjonsinngrep på rectum m/bk";5.198;26;"K";5.198;6;0;"Ordinære innleggelser med overnatting";1;"146_147"
"147";"Reseksjonsinngrep på rectum u/bk";3.457;13;"K";3.457;6;0;"Ordinære innleggelser med overnatting";0;"146_147"
"148";"Større operasjoner på tynntarm og tykktarm m/bk";4.889;34;"K";4.889;6;0;"Ordinære innleggelser med overnatting";1;"148_149"
"149";"Større operasjoner på tynntarm og tykktarm u/bk";2.720;12;"K";2.720;6;0;"Ordinære innleggelser med overnatting";0;"148_149"
"150";"Operasjon for tarmadheranser m/bk";3.878;24;"K";3.878;6;0;"Ordinære innleggelser med overnatting";1;"150_151"
"151";"Operasjon for tarmadheranser u/bk";2.294;12;"K";2.294;6;0;"Ordinære innleggelser med overnatting";0;"150_151"
"152";"Mindre operasjoner på tynntarm og tykktarm m/bk";2.389;15;"K";2.389;6;0;"Ordinære innleggelser med overnatting";1;"152_153"
"153";"Mindre operasjoner på tynntarm og tykktarm u/bk";1.743;8;"K";1.743;6;0;"Ordinære innleggelser med overnatting";0;"152_153"
"156";"Op på spiserør, magesekk og tolvf. 0-17 år";3.232;14;"K";3.232;6;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"157";"Enkle tarmop og op på anus og fremlagt tarm m/bk";1.506;13;"K";1.506;6;0;"Ordinære innleggelser med overnatting";1;"157_158"
"158";"Enkle tarmop og op på anus og fremlagt tarm u/bk";0.885;5;"K";0.394;6;0;"Ordinære innleggelser med overnatting";0;"157_158"
"159";"Brokkop ekskl inguinal og femoral >17 år m/bk";2.011;12;"K";2.011;6;0;"Ordinære innleggelser med overnatting";1;"159_160"
"160";"Brokkop ekskl inguinal og femoral >17 år u/bk";1.394;5;"K";0.820;6;0;"Ordinære innleggelser med overnatting";0;"159_160"
"161";"Inguinal og femoral brokkoperasjon >17 år m/bk";1.168;7;"K";0.812;6;0;"Ordinære innleggelser med overnatting";1;"161_162"
"162";"Inguinal og femoral brokkoperasjon >17 år u/bk";1.039;3;"K";0.683;6;0;"Ordinære innleggelser med overnatting";0;"161_162"
"163";"Lyskebrokkoperasjon 0-17 år";1.083;7;"K";1.083;6;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"167";"Appendektomi uten kompliserende hovedtilstand";1.206;4;"K";1.191;6;0;"Ordinære innleggelser med overnatting";0;"166N_167"
"168";"Prosedyrer i munnhulen m/bk";2.239;14;"K";2.239;3;0;"Ordinære innleggelser med overnatting";1;"168_169"
"169";"Prosedyrer i munnhulen u/bk";1.352;6;"K";1.352;3;0;"Ordinære innleggelser med overnatting";0;"168_169"
"170";"Operasjoner på fordøyelsesorganer ITAD m/bk";3.459;20;"K";3.459;6;0;"Ordinære innleggelser med overnatting";1;"170_171"
"171";"Operasjoner på fordøyelsesorganer ITAD u/bk";1.528;8;"K";1.528;6;0;"Ordinære innleggelser med overnatting";0;"170_171"
"172";"Ondartede sykdommer i fordøyelsesorganene m/bk";1.421;16;"M";1.421;6;0;"Ordinære innleggelser med overnatting";1;"172_173"
"173";"Ondartede sykdommer i fordøyelsesorganene u/bk";0.783;9;"M";0.783;6;0;"Ordinære innleggelser med overnatting";0;"172_173"
"179";"Inflammatoriske tarmsykdommer";1.154;15;"M";1.154;6;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"180";"Gastrointestinal passasjehindring m/bk";1.001;10;"M";1.001;6;0;"Ordinære innleggelser med overnatting";1;"180_181"
"181";"Gastrointestinal passasjehindring u/bk";0.629;5;"M";0.629;6;0;"Ordinære innleggelser med overnatting";0;"180_181"
"182";"Øsofagitt, gastroenteritt og diverse >17 år m/bk";0.884;10;"M";0.884;6;0;"Ordinære innleggelser med overnatting";1;"182_183"
"183";"Øsofagitt, gastroenteritt og diverse >17 år u/bk";0.531;5;"M";0.482;6;0;"Ordinære innleggelser med overnatting";0;"182_183"
"185";"Tann/munnhulesykd. ekskl tannuttrekking >17 år";0.907;10;"M";0.907;3;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"186";"Tann/munnhulesykd. ekskl tannuttrekking 0-17 år";0.803;5;"M";0.803;3;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"188";"Sykdom i fordøyelsesorganene ITAD >17 år m/bk";1.245;21;"M";1.245;6;0;"Ordinære innleggelser med overnatting";1;"188_189"
"189";"Sykdom i fordøyelsesorganene ITAD >17 år u/bk";0.712;6;"M";0.712;6;0;"Ordinære innleggelser med overnatting";0;"188_189"
"190";"Sykdom i fordøyelsesorganene ITAD 0-17 år";0.760;6;"M";0.760;6;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"192";"Op på bukspyttkj/lever og portosyst shuntop u/bk";3.141;21;"K";3.141;7;0;"Ordinære innleggelser med overnatting";0;"191B_192"
"193";"Op på galleveier foruten kun kolecystektomi m/bk";2.451;19;"K";2.451;7;0;"Ordinære innleggelser med overnatting";1;"193_194"
"194";"Op på galleveier foruten kun kolecystektomi u/bk";1.503;9;"K";1.503;7;0;"Ordinære innleggelser med overnatting";0;"193_194"
"195";"Kolecystektomi m/ eksplorasjon av gallegang m/bk";3.549;22;"K";3.549;7;0;"Ordinære innleggelser med overnatting";1;"195_196"
"196";"Kolecystektomi m/ eksplorasjon av gallegang u/bk";1.323;9;"K";1.323;7;0;"Ordinære innleggelser med overnatting";0;"195_196"
"197";"Åpen kolecystektomi u/ eksplorasjon av gallegang m/bk";4.126;20;"K";4.126;7;0;"Ordinære innleggelser med overnatting";1;"197_198"
"198";"Åpen kolecystektomi u/ eksplorasjon av gallegang u/bk";2.379;17;"K";2.379;7;0;"Ordinære innleggelser med overnatting";0;"197_198"
"199";"Diagn op på lever/galleveier/bukspyttkj m/ ondartet svulst";2.623;26;"K";2.623;7;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"200";"Diagn op på lever/galleveier/bukspyttkj u/ ondartet svulst";3.235;35;"K";3.235;7;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"201";"Op på lever, galleveier og bukspyttkjertel ITAD";3.491;36;"K";3.491;7;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"202";"Cirrhose og alkoholisk leversykdom";1.725;19;"M";1.725;7;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"203";"Ondartede svulster i lever/galleveier og bukspyttkjertel";1.354;14;"M";1.354;7;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"204";"Sykdommer i bukspyttkjertel ekskl ondartede svulster";1.369;17;"M";1.369;7;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"205";"Leversykdom ekskl ondartede/cirrhose/alkoholutløste m/bk";2.125;23;"M";2.125;7;0;"Ordinære innleggelser med overnatting";1;"205_206"
"206";"Leversykdom ekskl ondartede/cirrhose/alkoholutløste u/bk";0.968;10;"M";0.968;7;0;"Ordinære innleggelser med overnatting";0;"205_206"
"207";"Sykdommer i galleveiene ekskl ondartede m/bk";1.407;13;"M";1.407;7;0;"Ordinære innleggelser med overnatting";1;"207_208"
"208";"Sykdommer i galleveiene ekskl ondartede u/bk";0.765;7;"M";0.739;7;0;"Ordinære innleggelser med overnatting";0;"207_208"
"212";"Op på bekken/hofte/femur ekskl proteseop 0-17 år";2.647;15;"K";2.647;8;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"213";"Amputasjoner pga traume eller sykd i bevegelsesapparatet";5.088;30;"K";5.088;8;1;"Ordinære innleggelser med overnatting";"Null";"Null"
"216";"Biopsier fra skjelett-muskelsystemet og bindevevet";2.791;23;"K";2.791;8;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"217";"Sårrev og hudtranspl ekskl hånd pga traume/sykd i HDG 8";7.087;50;"K";7.087;8;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"218";"Op på humerus og kne/legg/fot ekskl kneleddsop >17 år m/bk";3.153;20;"K";3.153;8;0;"Ordinære innleggelser med overnatting";1;"218_219"
"219";"Op på humerus og kne/legg/fot ekskl kneleddsop >17 år u/bk";2.139;11;"K";2.139;8;0;"Ordinære innleggelser med overnatting";0;"218_219"
"220";"Op på humerus og kne/legg/fot ekskl kneleddsop 0-17 år";1.402;6;"K";1.402;8;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"221";"Operasjoner på kneledd ekskl proteseop m/bk";3.050;23;"K";3.050;8;0;"Ordinære innleggelser med overnatting";1;"221_222"
"222";"Operasjoner på kneledd ekskl proteseop u/bk";1.455;7;"K";0.659;8;0;"Ordinære innleggelser med overnatting";0;"221_222"
"223";"Større op på humerus/albue/underarm ekskl skulderprotese m/bk";1.906;11;"K";1.906;8;0;"Ordinære innleggelser med overnatting";1;"223_224"
"224A";"Bruddoperasjon på humerus/albue/underarm ekskl skulderprotese u/bk";1.341;5;"K";1.095;8;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"224B";"Operasjon på humerus/albue/underarm ekskl skulderprotese og bruddbehandling u/bk";1.342;5;"K";0.758;8;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"225";"Operasjoner på ankel og fot";1.895;10;"K";1.895;8;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"226";"Bløtdelsoperasjoner ITAD m/bk";2.229;14;"K";2.229;8;0;"Ordinære innleggelser med overnatting";1;"226_227"
"227";"Bløtdelsoperasjoner ITAD u/bk";1.230;6;"K";1.230;8;0;"Ordinære innleggelser med overnatting";0;"226_227"
"228";"Op på håndledd/hånd/tommel m/bk eller leddprotese håndledd/ hånd";1.889;12;"K";1.889;8;0;"Ordinære innleggelser med overnatting";1;"228_229"
"229";"Op på håndledd/hånd u/bk eller sårrevisjon på overekstremitet";1.140;5;"K";1.140;8;0;"Ordinære innleggelser med overnatting";0;"228_229"
"230";"Lokal eksisjon og fjerning av osteosyntesmat fra hofte/femur";1.078;6;"K";0.700;8;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"231";"Lokal eksisjon og fjerning av osteosyntesmat ekskl fra hofte/femur";1.133;9;"K";0.304;8;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"232";"Artroskopi";1.892;16;"K";1.892;8;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"233";"Op på skjelett-muskelsystem og bindevev ITAD m/bk";4.077;33;"K";4.077;8;0;"Ordinære innleggelser med overnatting";1;"233_234"
"234";"Op på skjelett-muskelsystem og bindevev ITAD u/bk";1.706;8;"K";1.706;8;0;"Ordinære innleggelser med overnatting";0;"233_234"
"235";"Lårbeinsbrudd";1.194;14;"M";1.194;8;1;"Ordinære innleggelser med overnatting";"Null";"Null"
"236";"Brudd på hofte og bekken";0.897;14;"M";0.897;8;1;"Ordinære innleggelser med overnatting";"Null";"Null"
"237";"Forstuving og luksasjon av hofte, bekken og lår";0.646;7;"M";0.646;8;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"238";"Osteomyelitt";2.341;25;"M";2.341;8;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"239";"Patologiske brudd og ondartede svulster i HDG 8";1.572;16;"M";1.572;8;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"243";"Rygglidelser, traumatiske tilstander og symptomer i ryggen";0.794;8;"M";0.794;8;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"244";"Andre beinsykdommer m/bk";1.166;11;"M";1.166;8;0;"Ordinære innleggelser med overnatting";1;"244_245"
"245";"Andre beinsykdommer u/bk";0.759;8;"M";0.759;8;0;"Ordinære innleggelser med overnatting";0;"244_245"
"247";"Uspesifikke tilst og sympt fra muskel-skjelettsyst/bindevev ITAD";0.515;6;"M";0.308;8;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"248";"Tilstander i muskler, sener, seneskjeder, fascie og bursa ITAD";1.007;10;"M";1.007;8;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"249";"Komplik/følgetilst/etterbehandling av tilstander i HDG 8";1.202;16;"M";1.202;8;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"250";"Brudd/forstuving/luksasjon av u.arm, hånd, fot >17 år m/bk";0.691;6;"M";0.691;8;0;"Ordinære innleggelser med overnatting";1;"250_251"
"251";"Brudd/forstuving/luksasjon av u.arm, hånd, fot >17 år u/bk";0.517;5;"M";0.517;8;0;"Ordinære innleggelser med overnatting";0;"250_251"
