"TFGKode";"TFGNavn";"Periode";"HDGKode";"Kostnadsvekt";"TFGBasispoeng"
"TT19";"Forløp for poliklinisk behandling hovedsakelig for personlighetsforstyrrelser, voksne";"År";19;0.000;0.000
"TT20";"Forløp for poliklinisk behandling hovedsakelig for alderspsykiatriske problemstillinger";"År";19;0.000;0.000
"TT22";"Forløp for poliklinisk behandling hovedsakelig ved spiseforstyrrelser, barn og unge";"År";19;0.000;0.000
"TT21";"Forløp for poliklinisk behandling hovedsakelig ved spiseforstyrrelser, voksne";"År";19;0.000;0.000
"TT23";"Forløp for poliklinisk behandling hovedsakelig ved autisme og andre gjennomgripende utviklinsforstyrrelser, barn og unge";"År";19;0.000;0.000
"TT24";"Forløp for poliklinisk behandling hovedsakelig ved psykisk utviklingshemming, barn og unge";"År";19;0.000;0.000
"TT26";"Forløp for poliklinisk behandling hovedsakelig ved ADHD o.l., barn og unge";"År";19;0.000;0.000
"TT25";"Forløp for poliklinisk behandling hovedsakelig ved ADHD o.l., voksne";"År";19;0.000;0.000
"TT27";"Forløp for poliklinisk behandling hovedsakelig for barn under 5 år";"År";19;0.000;0.000
"TT98";"Andre tjenesteforløp - HDG 19 - barn og unge";"År";19;0.000;0.000
"TT99";"Andre tjenesteforløp - HDG 19 - voksne";"År";19;0.000;0.000
"UT99";"Andre tjenesteforløp - HDG 21 og 22";"År";21;0.000;0.000
"VT99";"Andre tjenesteforløp - HDG 23";"År";23;0.000;0.000
"WT99";"Andre tjenesteforløp - HDG 24";"År";24;0.000;0.000
"XT851";"Ekstern strålebehandling ved andre tilstander";"År";40;0.000;0.000
"XT99";"Andre tjenesteforløp";"År";40;0.000;0.000
"ZT470";"Feilgruppering - Ikke grupperbar pga manglende opplysninger";"År";99;0.000;0.000
